Location,Beds,Price,Area,Type
J P Nagar,6,14000000,2400,House
 Hebbal,2,3300000,815,House
Niveditha Nagar,3,12000000,1200,House
Niveditha Nagar,3,12000000,1200,House
Chamrajpura,2,4500000,1000,House
 J P Nagar,2,5500000,1400,House
 Dattagalli Third Stage,3,12000000,1800,House
 Dattagalli Third Stage,3,12000000,1800,House
TK Layout,2,6500000,1200,House
 Siddhartha Layout,2,6900000,1285,House
Vidayaranya Puram,2,7500000,700,House
 Bogadi,3,9500000,1200,House
 Lakshmipuram,2,5000000,1120,House
 Vijayanagar,4,38000000,5500,House
 Shyadanahalli,3,7000000,1600,House
Niveditha Nagar,10,21000000,5000,House
 Kesare,2,500000,1200,House
University Layout,4,6900000,900,House
Saraswathipuram,2,16500000,1400,House
Rammanahalli,1,750000,600,House
Sathgalli,3,8500000,1200,House
 Vivekananda Nagar,4,13000000,2400,House
 Hebbal 1st Stage,3,7000000,1200,House
Ilavala Hobli,2,3100000,750,House
 Alanahalli Village,2,4200000,960,House
Kalyanagiri,6,4500000,1056,House
 Ramakrishnanagar,3,7000000,1000,House
Somanatha Nagar,3,15000000,2900,House
 Kuvempunagar,3,16500000,1000,House
 Ramakrishnanagar,4,11000000,1200,House
Udayagiri,3,15000000,1500,House
Dattagalli,3,6200000,1200,House
 Ramakrishnanagar,4,11499600,1200,House
Somanatha Nagar,3,15000000,2900,House
 Vidayaranya Puram,2,4400000,974,House
Somanatha Nagar,3,15000000,2900,House
Somanatha Nagar,3,16000000,2900,House
 Kuvempunagar,4,21500000,3600,House
 Sardar Vallabh Bhai Patel Nagara,3,9500000,2100,House
 Kuvempunagar,3,6700000,600,House
 Vijayanagar,3,15000000,1800,House
Elivala,2,4200000,1000,House
 J P Nagar,2,7200000,1300,House
 J P Nagar,2,7100000,1200,House
 J P Nagar,2,7200000,1200,House
 J P Nagar,3,11000000,1200,House
 Hebbal,3,7800000,650,House
 Hebbal,2,5499000,1200,House
Bannimantap,1,3200000,420,House
 Vijayanagar,3,38500000,4800,House
 J P Nagar,2,7000000,1200,House
Vijayanagar,3,6900000,1200,House
 Gokulam,4,6500000,796,House
Bannimantap,1,3500000,250,House
 Vivekananda Nagar,2,5000000,600,House
J P Nagar,3,8200000,1200,House
 Vijayanagar,2,5800000,1174,House
Kesare,2,4200000,600,House
 Bogadi,3,6700000,1300,House
 Vani Vilas Mohalla,2,7200000,1200,House
 Hebbal,2,5000000,960,House
J P Nagar,3,13440000,2400,House
Rajiv Nagar,6,18000000,4800,House
 Kuvempunagar,1,4200000,720,House
 Bogadi,10,14500000,3500,House
 Bogadi,10,14500000,4000,House
 Jayalakshmipuram,3,12000000,1800,House
 Saraswathipuram,3,18000000,2400,House
 Jayalakshmipuram,2,6500000,1200,House
Metagalli,3,11999000,3250,House
Hebbal 2nd Stage,4,13500000,2200,House
J P Nagar,2,6500000,1200,House
 Vijayanagar,6,12000000,3700,House
 Vijayanagar,3,10500000,2400,House
 Hebbal 2nd Stage,2,12500000,2750,House
 Sriramapura,3,5200000,600,House
 Vijayanagar,3,7500000,600,House
 Vijayanagar,2,8500000,1100,House
 Vidayaranya Puram,3,5200000,1675,House
Metagalli,2,2500000,600,House
 Rajiv Nagar,2,4500000,1350,House
 Belvata,2,2500000,600,House
Sathagalli Layout,8,19000000,5000,House
Hebbal 1st Stage,1,5000000,920,House
 Vijayanagar,3,7200000,1150,House
Dattagalli,3,10000000,2200,House
Hebbal 2nd Stage,3,9500000,1200,House
 Vidayaranya Puram,3,5200000,1700,House
Ramakrishnanagar,5,14000000,2800,House
 Vijayanagar,2,8500000,1100,House
J P Nagar,2,5000000,750,House
Rajiv Nagar,6,14500000,3040,House
 Vijayanagar,4,14500000,2400,House
BEML Nagar,2,6900000,1200,House
 Vijayanagar,2,6300000,600,House
J P Nagar,2,8500000,1200,House
J P Nagar,2,8500000,1200,House
 Sriramapura,4,5800000,600,House
 Vijayanagar,3,5800000,1200,House
Hinkal,3,7000000,1700,House
Ramakrishnanagar,2,5200000,1100,House
Siddhartha Layout,4,11500000,2300,House
 BEML Nagar,3,6000000,600,House
 Dattagalli Third Stage,3,9000000,2400,House
 Kuvempunagar,4,16000000,4500,House
 Sharadadevi Nagar,4,3300000,525,House
 Vivekananda Nagar,2,6500000,1800,House
 Gokulam,4,20000000,2700,House
Hebbal 2nd Stage,3,7000000,1200,House
Vijayanagar,4,6300000,1100,House
Dattagalli,3,7000000,1150,House
Hebbal 2nd Stage,2,4900000,1170,House
 Vijayanagar,2,5500000,790,House
Vijayanagar,2,6500000,1200,House
Vijayanagar,4,13000000,2350,House
Vijayanagar,3,6400000,1175,House
Vijayanagar,2,5000000,650,House
Hebbal 2nd Stage,4,7000000,1100,House
Dattagalli,3,7000000,1300,House
Hebbal 2nd Stage,2,4500000,625,House
 Alanahalli Village,2,7400000,1250,House
Hebbal 2nd Stage,10,13000000,2500,House
 Jayalakshmipuram,2,6400000,1000,House
J P Nagar,3,8000000,1200,House
Hulikere,2,5200000,1200,House
Vijayanagar,3,6600000,650,House
 Sriramapura,2,4500000,600,House
 Sriramapura,3,13000000,2400,House
 Vijayanagar,3,13500000,2200,House
 Jayalakshmipuram,3,9000000,1800,House
 Vijayanagar,2,11000000,1200,House
Dattagalli,4,7000000,1200,House
 Marase,8,16000000,3800,House
 Dattagalli Third Stage,2,7000000,600,House
 Kuvempunagar,2,4200000,600,House
 Deepanagar,4,40000000,3900,House
 Hebbal 2nd Stage,3,14500000,2000,House
Nanjangud,4,6800000,1150,House
Rajiv Nagar,3,8500000,1800,House
 Vijayanagar,2,6300000,600,House
 Vijayanagar,2,7500000,600,House
 Vijayanagar,2,7500000,600,House
 Jayalakshmipuram,3,12000000,1700,House
 Jayalakshmipuram,3,12000000,1700,House
Fort Mohalla,2,7000000,830,House
Vijayanagar,3,5800000,1100,House
 Bogadi 2nd Stage North,3,11000000,1800,House
 Vijayanagar,3,5600000,1250,House
 Bogadi,5,13500000,3000,House
 Hebbal,1,3300000,450,House
 Hebbal 1st Stage,1,3100000,600,House
Vijayanagar,4,580000,6000,House
 Dattagalli Third Stage,2,2500000,700,House
Vijayanagar,2,8200000,1200,House
 Hebbal,2,8500000,1600,House
 Bogadi,5,17000000,1800,House
J P Nagar,2,9500000,1750,House
 J P Nagar,2,9500000,1750,House
 Vijayanagar,2,12500000,1200,House
Vijayanagar,2,5250000,600,House
Ramakrishnanagar,5,8000000,1200,House
Kalyanagiri,5,7000000,2040,House
Fort Mohalla,2,7500000,820,House
Vijayanagar,3,13500000,1200,House
J P Nagar,3,12000000,3040,House
 Kuvempunagar,2,4500000,640,House
 Hebbal,5,5200000,1500,House
 Sriramapura,2,7500000,1000,House
 Vidayaranya Puram,3,15000000,1700,House
 Kuvempunagar,2,4500000,640,House
 Gokulam,3,8000000,1350,House
 Bogadi,5,14000000,3300,House
 Vijayanagar,2,5000000,900,House
 Vijayanagar,3,4500000,1300,House
Kuvempunagar,3,18000000,1800,House
Basavanahalli,3,5800000,600,House
 Vijayanagar,2,6000000,1500,House
 Madagalli,3,10000000,2200,House
BEML Nagar,3,12800000,2200,House
 Sriramapura,2,6500000,1200,House
Sriramapura,2,7500000,1200,House
 Kuvempunagar,3,16000000,5030,House
Sriramapura,2,4000000,600,House
 Sriramapura,2,7800000,1200,House
Sriramapura,3,10000000,1200,House
 J P Nagar,4,14000000,1200,House
Ramakrishnanagar,2,4500000,600,House
