Location,Beds,Price,Area,PricePerSqft
Rajarajeshwari Nagar,3,75.0,1000.0,0.08
Rajendra Nagar,3,65.0,1220.0,0.05
Rajiv Nagar,4,85.0,1500.0,0.06
Rajiv Nagar,4,150.0,2400.0,0.06
Rajiv Nagar,2,70.0,1200.0,0.06
Rajiv Nagar,2,45.0,600.0,0.08
Rajiv Nagar,2,33.0,600.0,0.06
Rajiv Nagar,6,145.0,3040.0,0.05
Rajiv Nagar,3,85.0,1800.0,0.05
Ramakrishnanagar,2,160.0,1800.0,0.09
Ramakrishnanagar,2,135.0,1200.0,0.11
Ramakrishnanagar,4,185.0,2600.0,0.07
Ramakrishnanagar,3,155.0,2000.0,0.08
Ramakrishnanagar,2,45.0,600.0,0.08
Saraswathipuram,3,220.0,2400.0,0.09
Saraswathipuram,2,165.0,1400.0,0.12
Sardar Vallabh Bhai Patel Nagara,2,70.0,1200.0,0.06
Sardar Vallabh Bhai Patel Nagara,2,62.0,1200.0,0.05
Siddarthanagar,3,92.24,1338.0,0.07
Somanatha Nagar,3,110.0,2300.0,0.05
Somanatha Nagar,3,150.0,2900.0,0.05
Somanatha Nagar,3,159.99,2900.0,0.06
Somanatha Nagar,3,105.0,1800.0,0.06
Somanatha Nagar,3,150.0,2900.0,0.05
Somanatha Nagar,2,65.0,1000.0,0.06
Somanatha Nagar,3,160.0,2900.0,0.06
Somanatha Nagar,3,160.0,2900.0,0.06
Somanatha Nagar,3,160.0,2900.0,0.06
Somanatha Nagar,3,150.0,2900.0,0.05
Somanatha Nagar,3,150.0,2900.0,0.05
Somanatha Nagar,3,150.0,2900.0,0.05
Somanatha Nagar,3,160.0,2900.0,0.06
Somanatha Nagar,4,129.91,1602.0,0.08
Srirampura,2,75.0,1200.0,0.06
Srirampura,2,40.0,600.0,0.07
Srirampura,3,100.0,1200.0,0.08
Udayagiri,3,120.0,1100.0,0.11
Udayagiri,3,150.0,1500.0,0.1
VV Mohalla,3,73.5,1463.0,0.05
VV Mohalla,3,66.44,1450.0,0.05
Vidyaranyapuram,2,46.0,855.0,0.05
Vidyaranyapuram,2,37.38,885.0,0.04
Vidyaranyapuram,3,39.64,1096.0,0.04
Vidyaranyapuram,3,59.5,1000.0,0.06
