location,beds,price,area
3 Bedroom Independent House in Bogadi,"3 BHK
3 Baths","₹ 1.1 Cr
₹ 9,167/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
4 Bedroom Independent House in Kuvempunagar,"4 BHK
4 Baths","₹ 1.85 Cr
₹ 7,709/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
5 Bedroom Independent House in Kuvempunagar,"5 BHK
2 Baths","₹ 1.2 Cr
₹ 11,111/sq.ft.","1,080 sq.ft.
(100 sq.m.) Plot Area"
1 Bedroom Independent House in Metagalli,"1 BHK
2 Baths","₹ 70 Lac
₹ 2,708/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in Dattagalli,3 BHK,"₹ 81 - 91 Lac
₹ 4,525/sq.ft.","1,800-2,000 sq.ft.
(167-186 sq.m.) Built-up Area"
5 Bedroom Independent House in Arvind Nagar,"5 BHK
2 Baths","₹ 61 Lac
₹ 5,083/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area"
2 Bedroom Independent House in Bogadi,"2 BHK
1 Bath","₹ 50 Lac
₹ 5,952/sq.ft.","840 sq.ft.
(78 sq.m.) Plot Area"
2 BHK Residential Apartment in J.P Nagar,"2 BHK
2 Baths","₹ 47.5 Lac
₹ 5,322/sq.ft.","930 sq.ft.
(86 sq.m.) Super built-up Area"
2 Bedroom Independent House in Jss Layout,"2 BHK
2 Baths","₹ 78 Lac
₹ 6,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
6 Bedroom Independent House in Saraswathipuram,"6 BHK
4 Baths","₹ 2.1 Cr
₹ 8,974/sq.ft.","2,340 sq.ft.
(217 sq.m.) Plot Area"
3 Bedroom Independent House in Srirampura,"3 BHK
3 Baths","₹ 1.25 Cr
₹ 6,250/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area"
2 Bedroom Independent House in 2nd Stage Vijaynagar,"2 BHK
1 Bath","₹ 1.05 Cr
₹ 8,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 1.27 Cr
₹ 10,583/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 BHK Residential Apartment in Lakshmipuram,"3 BHK
3 Baths","₹ 1.5 Cr
₹ 7,043/sq.ft.","2,130 sq.ft.
(198 sq.m.) Super built-up Area"
6 Bedroom Farm house in Nandhinathapura,"6 BHK
5 Baths","₹ 1.5 Cr
₹ 86/sq.ft.","174,240 sq.ft.
(16187 sq.m.) Plot Area"
2 BHK Residential Apartment in J.P Nagar,"2 BHK
2 Baths","₹ 45 Lac
₹ 4,891/sq.ft.","920 sq.ft.
(85 sq.m.) Super built-up Area"
2 BHK Independent Builder Floor in Jantagalli,"2 BHK
1 Bath","₹ 26 Lac
₹ 4,333/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area"
3 Bedroom Independent House in Raghavendra Nagar,"3 BHK
2 Baths","₹ 68 Lac
₹ 2,833/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
2 Bedroom Independent House in Dattagalli,"2 BHK
2 Baths","₹ 65 Lac
₹ 5,666/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area"
4 Bedroom Independent House in 4th Stage Vijayanagar,"4 BHK
4 Baths","₹ 1.2 Cr
₹ 7,500/sq.ft.","1,600 sq.ft.
(149 sq.m.) Plot Area"
3 BHK Independent Builder Floor in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 69 Lac
₹ 5,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area"
,,,
2 BHK Residential Apartment in J.P Nagar,"2 BHK
2 Baths","₹ 39.5 Lac
₹ 4,702/sq.ft.","840 sq.ft.
(78 sq.m.) Super built-up Area"
2 Bedroom Independent House in Chamarajapuram Mohalla,"2 BHK
1 Bath","₹ 25 Lac
₹ 6,944/sq.ft.","360 sq.ft.
(33 sq.m.) Plot Area"
4 Bedroom Independent House in Dattagalli,"4 BHK
4 Baths","₹ 65 Lac
₹ 10,833/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
3 BHK Residential Apartment in Yadavagiri,"3 BHK
3 Baths","₹ 1.25 Cr
₹ 7,212/sq.ft.","1,733 sq.ft.
(161 sq.m.) Carpet Area"
3 Bedroom Independent House in Dattagalli,"3 BHK
3 Baths","₹ 90 Lac
₹ 3,913/sq.ft.","2,300 sq.ft.
(214 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 61 Lac
₹ 5,083/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 Bedroom Independent House in Hebbal,"2 BHK
1 Bath","₹ 44.99 Lac
₹ 7,498/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 Bedroom Independent House in Srirampura,"2 BHK
1 Bath","₹ 70 Lac
₹ 6,000,000/sq.ft.","1 sq.ft.
(0 sq.m.) Built-up Area"
1 BHK Independent Builder Floor in Bogadi,"1 BHK
1 Bath","₹ 4.5 Lac
₹ 375/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area"
3 Bedroom Independent House in Dattagalli,"3 BHK
3 Baths","₹ 90 Lac
₹ 3,750/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in Kuvempunagar,"3 BHK
4 Baths","₹ 2.5 Cr
₹ 10,416/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in srinagara next jp nagara,"3 BHK
3 Baths","₹ 82 Lac
₹ 6,074/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area"
3 Bedroom Independent House in Sharadadevi Nagar,"3 BHK
2 Baths","₹ 44 Lac
₹ 6,984/sq.ft.","630 sq.ft.
(59 sq.m.) Plot Area"
2 Bedroom Farm house in Maratikyatana Halli,"2 BHK
2 Baths","₹ 1.2 Cr
₹ 100/sq.ft.","120,000 sq.ft.
(11148 sq.m.) Plot Area"
2 Bedroom Farm house in Bogadi,"2 BHK
1 Bath","₹ 90 Lac
₹ 750/sq.ft.","12,000 sq.ft.
(1115 sq.m.) Plot Area"
1 Bedroom Independent House in JC Nagar,"1 BHK
1 Bath","₹ 27 Lac
₹ 6,000/sq.ft.","450 sq.ft.
(42 sq.m.) Plot Area"
9 Bedroom Independent House in Vidyaranyapuram,"9 BHK
6 Baths","₹ 98 Lac
₹ 7,259/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area"
3 Bedroom Independent House in 2nd Stage Vijaynagar,"3 BHK
4 Baths","₹ 3.8 Cr
₹ 14,179/sq.ft.","2,680 sq.ft.
(249 sq.m.) Plot Area"
4 Bedroom Independent House in Hebbal,"4 BHK
4 Baths","₹ 55 Lac
₹ 4,583/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 55 Lac
₹ 9,167/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 BHK Residential Apartment in Vontikoppal,"2 BHK
2 Baths","₹ 40 Lac
₹ 4,597/sq.ft.","870 sq.ft.
(81 sq.m.) Built-up Area"
2 Bedroom Independent House in Vivekananda Nagar,"2 BHK
1 Bath","₹ 95 Lac
₹ 791,666/sq.ft.","12 sq.ft.
(1 sq.m.) Built-up Area"
4 Bedroom Independent House in 3rd Stage Vijayanagar,"4 BHK
4 Baths","₹ 1.3 Cr
₹ 4,666/sq.ft.","3,000 sq.ft.
(279 sq.m.) Built-up Area"
4 Bedroom Independent House in 4th Stage Vijayanagar,"4 BHK
4 Baths","₹ 1.48 Cr
₹ 12,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
"2 Bedroom Independent House in N Block, 2nd main","2 BHK
1 Bath","₹ 1.3 Cr
₹ 10,833/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
,,,
2 Bedroom Independent House in 2nd Stage BEML Layout,"2 BHK
2 Baths","₹ 80 Lac
₹ 7,916/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Residential Apartment in Vijayanagar,"2 BHK
2 Baths","₹ 40 Lac
₹ 3,810/sq.ft.","1,050 sq.ft.
(98 sq.m.) Built-up Area"
1 Bedroom Independent House in 2nd Stage Vijaynagar,"1 BHK
1 Bath","₹ 22.5 Lac
₹ 5,806/sq.ft.","387 sq.ft.
(36 sq.m.) Plot Area"
5 Bedroom Independent House in Vijaya nagar,"5 BHK
3 Baths","₹ 90 Lac
₹ 3,750/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in Vijaynagar,"3 BHK
4 Baths","₹ 1.2 Cr
₹ 3,716/sq.ft.","3,229 sq.ft.
(300 sq.m.) Built-up Area"
2 Bedroom Independent House in J.P Nagar,"2 BHK
2 Baths","₹ 95 Lac
₹ 5,429/sq.ft.","1,750 sq.ft.
(163 sq.m.) Plot Area"
7 Bedroom Independent House in Yadavagiri,"7 BHK
7 Baths","₹ 1.65 Cr
₹ 11,111/sq.ft.","1,485 sq.ft.
(138 sq.m.) Plot Area"
3 BHK Residential Apartment in J.P Nagar,"3 BHK
3 Baths","₹ 59 Lac
₹ 4,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area"
3 Bedroom Independent House in Vijaynagar,"3 BHK
3 Baths","₹ 80 Lac
₹ 4,324/sq.ft.","1,850 sq.ft.
(172 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 58 Lac
₹ 10,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
4 Bedroom Independent House in 1st Stage Vijayanagar,"4 BHK
5 Baths","₹ 3.25 Cr
₹ 8,552/sq.ft.","3,800 sq.ft.
(353 sq.m.) Built-up Area"
4 Bedroom Independent House in Vijaynagar,"4 BHK
4 Baths","₹ 1.1 Cr
₹ 3,405/sq.ft.","3,230 sq.ft.
(300 sq.m.) Built-up Area"
1 BHK Residential Apartment in Sharadadevi Nagar,"1 BHK
1 Bath","₹ 25 Lac
₹ 4,166/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area"
,,,
