location,beds,price,area
2 Bedroom Independent House in Kanakadasa Nagar,"2 BHK
1 Bath","₹ 55 Lac
₹ 8,334/sq.ft.","660 sq.ft.
(61 sq.m.) Plot Area"
3 Bedroom Independent House in Dattagalli,"3 BHK
3 Baths","₹ 1.06 Cr
₹ 4,608/sq.ft.","2,300 sq.ft.
(214 sq.m.) Built-up Area"
5 Bedroom Independent House in Rajiv Nagar,"5 BHK
4 Baths","₹ 1.25 Cr
₹ 10,417/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in Sardar Vallabh Bhai Patel Nagar,"3 BHK
4 Baths","₹ 95 Lac
₹ 7,916/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 BHK Independent Builder Floor in 1st Stage Vijayanagar,"3 BHK
3 Baths","₹ 30,000
₹ 1/sq.ft.","22,000 sq.ft.
(2044 sq.m.) Carpet Area"
4 Bedroom Independent House in Kuvempunagar,"4 BHK
5 Baths","₹ 4 Cr
₹ 5,555/sq.ft.","7,200 sq.ft.
(669 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Rajiv Nagar,"2 BHK
3 Baths","₹ 53 Lac
₹ 5/sq.ft.","1,076,391 sq.ft.
(100000 sq.m.) Super built-up Area"
Independent Builder Floor in Ittige Gudu,3 Baths,"₹ 15 Lac
₹ 3,750/sq.ft.","400 sq.ft.
(37 sq.m.) Carpet Area"
3 BHK Residential Apartment in Hebbal,"3 BHK
3 Baths","₹ 77 Lac
₹ 4,377/sq.ft.","1,759 sq.ft.
(163 sq.m.) Super built-up Area"
3 BHK Residential Apartment in Bogadi,"3 BHK
3 Baths","₹ 72 Lac
₹ 4,079/sq.ft.","1,765 sq.ft.
(164 sq.m.) Super built-up Area"
4 Bedroom Independent House in 4th Stage Vijayanagar,"4 BHK
4 Baths","₹ 1.35 Cr
₹ 8,438/sq.ft.","1,600 sq.ft.
(149 sq.m.) Plot Area"
,,,
4 BHK Independent Builder Floor in Sathgalli,"4 BHK
5 Baths","₹ 51 Lac
₹ 3,924/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area"
2 BHK Residential Apartment in 1st Stage Vijayanagar,"2 BHK
2 Baths","₹ 70 Lac
₹ 6,628/sq.ft.","1,056 sq.ft.
(98 sq.m.) Super built-up Area"
3 BHK Residential Apartment in J.P Nagar,"3 BHK
2 Baths","₹ 60 Lac
₹ 5,500/sq.ft.","1,100 sq.ft.
(102 sq.m.) Carpet Area"
3 BHK Residential Apartment in Bogadi,"3 BHK
3 Baths","₹ 65 Lac
₹ 4,333/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area"
3 Bedroom Independent House in Srirangapatna,"3 BHK
3 Baths","₹ 70 Lac
₹ 3,783/sq.ft.","1,850 sq.ft.
(172 sq.m.) Plot Area"
3 Bedroom Independent House in Hebbal 2nd Stage,"3 BHK
3 Baths","₹ 1.2 Cr
₹ 13,333/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area"
3 BHK Independent Builder Floor in Hebbal,"3 BHK
3 Baths","₹ 68 Lac
₹ 4,000/sq.ft.","1,700 sq.ft.
(158 sq.m.) Built-up Area"
3 Bedroom Independent House in Yelwala,"3 BHK
2 Baths","₹ 54 Lac
₹ 9,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
5 Bedroom Independent House in Sathgalli,"5 BHK
5 Baths","₹ 56 Lac
₹ 9,333/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Bogadi,"2 BHK
2 Baths","₹ 55 Lac
₹ 3,359/sq.ft.","1,637 sq.ft.
(152 sq.m.) Built-up Area"
2 Bedroom Independent House in N R Mohalla,"2 BHK
2 Baths","₹ 2 Cr
₹ 8,333/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
5 Bedroom Independent House in Sathagalli Layout,"5 BHK
5 Baths","₹ 2 Cr
₹ 8,333/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
1 Bedroom Independent House in Hulikere,"1 BHK
1 Bath","₹ 21 Lac
₹ 1,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
1 Bedroom Farm house in Kadakola,"1 BHK
1 Bath","₹ 1.9 Cr
₹ 1,173/sq.ft.","16,200 sq.ft.
(1505 sq.m.) Plot Area"
3 BHK Residential Apartment in Vidyaranyapuram,"3 BHK
3 Baths","₹ 85 Lac
₹ 4,548/sq.ft.","1,869 sq.ft.
(174 sq.m.) Built-up Area"
5 Bedroom Independent House in 4th Stage Vijayanagar,"5 BHK
4 Baths","₹ 78 Lac
₹ 13,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
5 Bedroom Independent House in 4th Stage Vijayanagar,"5 BHK
4 Baths","₹ 78 Lac
₹ 13,000/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Rajiv Nagar,"2 BHK
1 Bath","₹ 35 Lac
₹ 5,833/sq.ft.","600 sq.ft.
(56 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Hebbal,"2 BHK
2 Baths","₹ 60 Lac
₹ 5,489/sq.ft.","1,093 sq.ft.
(102 sq.m.) Carpet Area"
7 Bedroom Independent House in 2nd Stage Vijaynagar,"7 BHK
8 Baths","₹ 2.25 Cr
₹ 5,625/sq.ft.","4,000 sq.ft.
(372 sq.m.) Built-up Area"
3 Bedroom Independent House in Hootagalli,"3 BHK
2 Baths","₹ 1.2 Cr
₹ 6,250/sq.ft.","2,000 sq.ft.
(186 sq.m.) Built-up Area"
2 BHK Residential Apartment in Vishweshwara Nagar,"2 BHK
2 Baths","₹ 55 Lac
₹ 4,584/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area"
2 BHK Residential Apartment in Mysore,"2 BHK
2 Baths","₹ 55 Lac
₹ 4,489/sq.ft.","1,225 sq.ft.
(114 sq.m.) Carpet Area"
5 Bedroom Independent House in Srirampura,"5 BHK
3 Baths","₹ 1.29 Cr
₹ 10,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
3 Bedroom Independent House in 4th Stage Vijayanagar,"3 BHK
3 Baths","₹ 1.6 Cr
₹ 12,588/sq.ft.","1,271 sq.ft.
(118 sq.m.) Plot Area"
,,,
1 Bedroom Independent House in Nazarbhad,"1 BHK
1 Bath","₹ 33 Lac
₹ 70,212/sq.ft.","47 sq.ft.
(4 sq.m.) Plot Area"
5 Bedroom Independent House in Dattagalli 3rd Stage,"5 BHK
7 Baths","₹ 2.75 Cr
₹ 11,666/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
3 Bedroom Independent House in MG Road,"3 BHK
2 Baths","₹ 2.5 Cr
₹ 16,666/sq.ft.","1,500 sq.ft.
(139 sq.m.) Plot Area"
12 Bedroom Independent House in 4th Stage Vijayanagar,"12 BHK
9 Baths","₹ 2 Cr
₹ 8,333/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
2 BHK Residential Apartment in J.P Nagar,"2 BHK
2 Baths","₹ 55 Lac
₹ 6,043/sq.ft.","910 sq.ft.
(85 sq.m.) Super built-up Area"
3 Bedroom Independent House in Jayapura,"3 BHK
3 Baths","₹ 3.3 Cr
₹ 1,033/sq.ft.","32,670 sq.ft.
(3035 sq.m.) Plot Area"
5 Bedroom Independent House in rajunagar 1st stage,"5 BHK
3 Baths","₹ 55 Lac
₹ 9,166/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
"3 Bedroom Independent House in Railway Layout, Bogadi","3 BHK
4 Baths","₹ 1.95 Cr
₹ 8,125/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
4 Bedroom Independent House in Zuari Garden City,"4 BHK
4 Baths","₹ 1.4 Cr
₹ 6,481/sq.ft.","2,160 sq.ft.
(201 sq.m.) Plot Area"
1 Bedroom Independent House in Mandi Mohalla,"1 BHK
1 Bath","₹ 85 Lac
₹ 20,833/sq.ft.","408 sq.ft.
(38 sq.m.) Built-up Area"
2 Bedroom Independent House in 3rd Stage Vijayanagar,"2 BHK
2 Baths","₹ 2.5 Cr
₹ 20,833/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
4 Bedroom Independent House in Somanatha Nagar,"4 BHK
4 Baths","₹ 2.49 Cr
₹ 9,291/sq.ft.","2,680 sq.ft.
(249 sq.m.) Plot Area"
3 BHK Residential Apartment in Bogadi,"3 BHK
3 Baths","₹ 65 Lac
₹ 4,857/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area"
2 Bedroom Independent House in 4th Stage Vijayanagar,"2 BHK
2 Baths","₹ 1.1 Cr
₹ 8,461/sq.ft.","1,300 sq.ft.
(121 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Hanchya,"2 BHK
1 Bath","₹ 55 Lac
₹ 17,032/sq.ft.","322 sq.ft.
(30 sq.m.) Super built-up Area"
3 BHK Independent Builder Floor in Bunnymantap,"3 BHK
2 Baths","₹ 1.4 Cr
₹ 10,370/sq.ft.","1,350 sq.ft.
(125 sq.m.) Built-up Area"
2 BHK Residential Apartment in J. P. Nagar,"2 BHK
2 Baths","₹ 48 Lac
₹ 3,729/sq.ft.","1,287 sq.ft.
(120 sq.m.) Super built-up Area"
2 BHK Independent Builder Floor in Rajiv Nagar,"2 BHK
1 Bath","₹ 90 Lac
₹ 6,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area"
7 Bedroom Independent House in V V Mohalla,"7 BHK
4 Baths","₹ 5 Cr
₹ 10,200/sq.ft.","6,087 sq.ft.
(566 sq.m.) Plot Area"
3 Bedroom Independent House in Near KRS,"3 BHK
3 Baths","₹ 75 Lac
₹ 3,943/sq.ft.","1,902 sq.ft.
(177 sq.m.) Plot Area"
2 BHK Residential Apartment in Sriramapura 2nd Stage,"2 BHK
2 Baths","₹ 72 Lac
₹ 6,557/sq.ft.","1,098 sq.ft.
(102 sq.m.) Super built-up Area"
2 Bedroom Independent House in Siddique Nagar,"2 BHK
1 Bath","₹ 1.25 Cr
₹ 5,208/sq.ft.","2,400 sq.ft.
(223 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Vidyaranyapuram,"2 BHK
1 Bath","₹ 1 Cr
₹ 5,208/sq.ft.","1,920 sq.ft.
(178 sq.m.) Super built-up Area"
3 Bedroom Independent House in Kuntalpady,"3 BHK
5 Baths","₹ 1.3 Cr
₹ 6,500/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area"
3 BHK Independent Builder Floor in Vani Vilas Mohalla,"3 BHK
4 Baths","₹ 1.4 Cr
₹ 6,829/sq.ft.","2,050 sq.ft.
(190 sq.m.) Super built-up Area"
,,,
3 BHK Residential Apartment in gokulam 4th stage,"3 BHK
2 Baths","₹ 1 Cr
₹ 6,172/sq.ft.","1,620 sq.ft.
(151 sq.m.) Super built-up Area"
2 BHK Independent Builder Floor in janatha nagar,"2 BHK
2 Baths","₹ 1.2 Cr
₹ 6,153/sq.ft.","1,950 sq.ft.
(181 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Chamundi Vihar Layout,"2 BHK
2 Baths","₹ 80 Lac
₹ 5,405/sq.ft.","1,480 sq.ft.
(138 sq.m.) Super built-up Area"
7 Bedroom Independent House in LASHKAR MOHALLA,"7 BHK
4 Baths","₹ 90 Lac
₹ 9,401/sq.ft.","1,170 sq.ft.
(109 sq.m.) Plot Area"
3 Bedroom Independent House in Kalyanagiri,"3 BHK
3 Baths","₹ 1.5 Cr
₹ 10,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Built-up Area"
4 Bedroom Independent House in Bettadpura,"4 BHK
2 Baths","₹ 3 Cr
₹ 44,444/sq.ft.","675 sq.ft.
(63 sq.m.) Built-up Area"
2 BHK Independent Builder Floor in Sri Chamundeshwari Railway Layout KRS ROAD,"2 BHK
2 Baths","₹ 64 Lac
₹ 5,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area"
4 Bedroom Independent House in J.P Nagar,"4 BHK
4 Baths","₹ 1.1 Cr
₹ 9,166/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Hebbal,"2 BHK
2 Baths","₹ 75 Lac
₹ 8,152/sq.ft.","920 sq.ft.
(85 sq.m.) Carpet Area"
