location,beds1,beds2,price,area
"Rajendra Nagar, Mysore",Vijaya Tarangini,"1, 2, 3 BHK Apartments","[2171400, 3980900]","{'value': 600, 'unit': 'sq.ft'}"
"Bettadpura, Mysore",Manasa Enclave,"1, 2, 3 BHK Apartments","[3230000, 6460000]","{'value': 850, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",Manasa Sriranga,"1, 2, 3 BHK Apartments","[3137400, 8820000]","{'value': 747, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Premier Metropolis,"2, 3 BHK Apartments","[3680000, 5692800]","{'value': 1150, 'unit': 'sq.ft'}"
"Ankanahalli, Mysore",Yesh Lifestyle Villas,"2, 3, 4.5, 5 BHK Villas","[2699682, 8996580]","{'value': 1147, 'unit': 'sq.ft'}"
"Rajarajeshwari Nagar, Mysore",G9 Spacious,"2, 3 BHK Villas","[3750000, 7500000]","{'value': 1000, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Sankalp Regies,3 BHK Apartment,[13200000],"{'value': 2206, 'unit': 'sq.ft'}"
"Avverahalli, Mysore",Prithvi Orchids Villa Phase 1,3.5 BHK Villa,"[7949900, 13780100]","{'value': 1939, 'unit': 'sq.ft'}"
"Chamundi Vihar Layout, Mysore",Prithvi World,"2, 3, 4 BHK Apartments","[4920000, 10660000]","{'value': 1200, 'unit': 'sq.ft'}"
"Chamrajpura, Mysore",Pathak Pratham Temple Bells,2 BHK Apartment,[3500000],"{'value': 1250, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Manasa Chinmayee,3 BHK Apartment,"[5180000, 6031000]","{'value': 1400, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Premier Kruti Habitat,"2, 3, 4, 5 BHK Apartments",[],"{'value': 1158, 'unit': 'sq.ft'}"
"Vontikoppal, Mysore",Shanders Villa Grand,4 BHK Apartment,[15999500],"{'value': 2750, 'unit': 'sq.ft'}"
"Siddhartha Layout, Mysore",Premier Redwood,"2, 3 BHK Apartments","[5352000, 9224000]","{'value': 1338, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",Manasa Silver Oak,"2, 3 BHK Apartments","[4464000, 7916000]","{'value': 1116, 'unit': 'sq.ft'}"
"Vani Vilas Mohalla, Mysore",Renaissance Sugama,3 BHK Apartment,[],"{'value': 1463, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Pathak Sai Geetanjali,2 BHK Apartment,[],"{'value': 1300, 'unit': 'sq.ft'}"
"Siddhartha Layout, Mysore",Prithvi Lifestyle,"2, 3 BHK Apartments","[3741000, 6742500]","{'value': 860, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",Nammane Srirampura,3 BHK Villa,[13500000],"{'value': 3000, 'unit': 'sq.ft'}"
"Madagalli, Mysore",G9 Gardenia,"2, 3 BHK Villas",[],"{'value': 1400, 'unit': 'sq.ft'}"
"Madagalli, Mysore",KBL Gardenia,"2, 3 BHK Villas","[4420800, 6999600]","{'value': 1200, 'unit': 'sq.ft'}"
"Hinkal, Mysore",Bonitas Vijaya,"2, 3 BHK Apartments","[3500000, 5250000]","{'value': 1000, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Sankalp Sankalp Orchid,2 BHK Apartment,[],"{'value': 1000, 'unit': 'sq.ft'}"
"Vidayaranya Puram, Mysore",Oceanus Royale,"2, 2.5, 3 BHK Apartments","[2959200, 3963600]","{'value': 1096, 'unit': 'sq.ft'}"
"Vidayaranya Puram, Mysore",Sudhabdhi Sukha,"2, 3 BHK Apartments","[3500000, 5950000]","{'value': 1000, 'unit': 'sq.ft'}"
"Vontikoppal, Mysore",NCC Nagarjuna Princess Manor,2 BHK Apartment,[],"{'value': 1215, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",Paramount Serene,2 BHK Apartment,"[5616600, 6279000]","{'value': 1221, 'unit': 'sq.ft'}"
"Vani Vilas Mohalla, Mysore",Pathak Pratham Bharadwaj,"2, 3 BHK Apartments","[6235000, 6643500]","{'value': 1450, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",VM Prime Residency,"2, 3 BHK Apartments",[],"{'value': 930, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Damden Centrum,"2, 3 BHK Apartments","[6600000, 9900000]","{'value': 1200, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Sankalp Sankalp Gardenia,1 BHK Apartment,[],"{'value': 980, 'unit': 'sq.ft'}"
"Hinkal, Mysore",Manasa Royal Phase 1,"2, 3 BHK Apartments","[4080000, 5440000]","{'value': 1200, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",Manasa Mayura,"2, 3 BHK Apartments","[3094400, 5292800]","{'value': 967, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Sankalp Sankalp Sapphire,2 BHK Apartment,[],"{'value': 1000, 'unit': 'sq.ft'}"
"Lakshmipuram, Mysore",Sankalp Sankalp Manimandira,2 BHK Apartment,[],"{'value': 850, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Pathak Pratham Empire,"2, 3 BHK Apartments",[],"{'value': 1020, 'unit': 'sq.ft'}"
"Rajendra Nagar, Mysore",Precinct Dewans Park View,2 BHK Apartment,"[4118400, 4497900]","{'value': 1248, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Pathak Pratham Glory,2 BHK Apartment,"[4481400, 5499900]","{'value': 1100, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",VRR Spoorthi,"2, 3 BHK Apartments","[2996000, 4200000]","{'value': 1070, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",Sowparnika Blue Bells,"2, 3 BHK Apartments","[3442500, 5838750]","{'value': 918, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",Sankalp Sky Villas,3 BHK Apartment,[],"{'value': 28933, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",Pathak Pratham Mayflower,"2, 3 BHK Apartments","[3500000, 5075000]","{'value': 1000, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",Paramount Prime,"2, 3 BHK Apartments","[6325000, 10530000]","{'value': 1265, 'unit': 'sq.ft'}"
"Vidayaranya Puram, Mysore",Value Sienna,"2, 3 BHK Apartments",[],"{'value': 1500, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Pathak Pratham Mishra,2.5 BHK Apartment,[3840000],"{'value': 1200, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",Vaishnavi Sarovar,"2, 3 BHK Apartments",[],"{'value': 1350, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",Paramount Bliss,"2, 3 BHK Apartments","[5656500, 6610500]","{'value': 1257, 'unit': 'sq.ft'}"
