location,beds1,beds2,price,area
"Rajiv Nagar, Mysore",2 BHK Independent House,1400 sq.ft built up area ,[5600000],"{'value': 1400, 'unit': 'sq.ft'}"
"jp nagar, J P Nagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[7000000],"{'value': 600, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",4 BHK Independent House,4000 sq.ft built up area ,[20000000],"{'value': 4000, 'unit': 'sq.ft'}"
"Hegde Silver Spring, Mallahalli, Mysore",3 BHK Villa,2300 sq.ft built up area ,[10000000],"{'value': 2300, 'unit': 'sq.ft'}"
"J P Nagar, Mysore",2 BHK Independent House,600 sq.ft built up area ,[7000000],"{'value': 600, 'unit': 'sq.ft'}"
"Brigade Palmgrove Villas, Deepanagar, Mysore",4 BHK Villa,5130 sq.ft built up area ,[33400000],"{'value': 5130, 'unit': 'sq.ft'}"
"Nanjangud, Mysore",2 BHK Independent House,900 sq.ft built up area ,[5000000],"{'value': 900, 'unit': 'sq.ft'}"
"Prakruti Sigma, Vijay Nagar 3rd Stage, Vijayanagar, Mysore",2 BHK Apartment,1160 sq.ft built up area ,[6500000],"{'value': 1160, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",2 BHK Apartment,1300 sq.ft built up area ,[6000000],"{'value': 1300, 'unit': 'sq.ft'}"
"Sardar Vallabh Bhai Patel Nagara, Mysore",2 BHK Independent House,600 sq.ft built up area ,[6900000],"{'value': 600, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",2 BHK Apartment,1183 sq.ft built up area ,[6325000],"{'value': 1183, 'unit': 'sq.ft'}"
"Udayagiri, Mysore",3 BHK Independent House,2100 sq.ft built up area ,[30000000],"{'value': 2100, 'unit': 'sq.ft'}"
"Devayyana Hundi, Sriramapura, Mysore",7 BHK Villa,3400 sq.ft built up area ,[16000000],"{'value': 3400, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,600 sq.ft built up area ,[6300000],"{'value': 600, 'unit': 'sq.ft'}"
"Vipra Nagar, Belavadi, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[7500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Ramakrishnanagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[13500000],"{'value': 1200, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",2 BHK Apartment,1500 sq.ft built up area ,[7500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Udayagiri, Mysore",3 BHK Independent House,1100 sq.ft built up area ,[12000000],"{'value': 1100, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[15000000],"{'value': 2900, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",2 BHK Apartment,1076 sq.ft built up area ,[6800000],"{'value': 1076, 'unit': 'sq.ft'}"
"Goianu Gurikar Luxuria, Ittige Gudu, Mysore",3 BHK Apartment,22400 sq.ft built up area ,[11700000],"{'value': 22400, 'unit': 'sq.ft'}"
"M K Sunpure Homes, Ilavala Hobli, Mysore",5 BHK Independent House,3800 sq.ft built up area ,[20000000],"{'value': 3800, 'unit': 'sq.ft'}"
"Fort Mohalla, Mysore",2 BHK Independent House,3200 sq.ft built up area ,[20000000],"{'value': 3200, 'unit': 'sq.ft'}"
"Vasu Layout, Ramakrishnanagar, Mysore",5 BHK Villa,3500 sq.ft built up area ,[32000000],"{'value': 3500, 'unit': 'sq.ft'}"
"Preeti Green Valley, Metagalli, Mysore",3 BHK Villa,1600 sq.ft built up area ,[7000000],"{'value': 1600, 'unit': 'sq.ft'}"
"Tilak Nagar, Mysore",5 BHK Independent House,2050 sq.ft built up area ,[11000000],"{'value': 2050, 'unit': 'sq.ft'}"
"Vijayanagar 1st Stage, Vijayanagar, Mysore",3 BHK Independent House,2925 sq.ft built up area ,[23000000],"{'value': 2925, 'unit': 'sq.ft'}"
"Ilavala Hobli, Mysore",2 BHK Apartment,1185 sq.ft built up area ,[4500000],"{'value': 1185, 'unit': 'sq.ft'}"
"Vijay Nagar 2nd Stage, Vijayanagar, Mysore",2 BHK Apartment,1100 sq.ft built up area ,[6200000],"{'value': 1100, 'unit': 'sq.ft'}"
"Vijayanagar 1st Stage, Vijayanagar, Mysore",2 BHK Apartment,1188 sq.ft built up area ,[7500000],"{'value': 1188, 'unit': 'sq.ft'}"
"Brigade Symphony, Metagalli, Mysore",1 BHK Apartment,790 sq.ft built up area ,[5000000],"{'value': 790, 'unit': 'sq.ft'}"
"Srinivasa Srirampura 2nd Stage, BEML Nagar, Mysore",3 BHK Independent House,1500 sq.ft built up area ,[10500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Somanatha Nagar, Mysore",3 BHK Independent House,2900 sq.ft built up area ,[15999300],"{'value': 2900, 'unit': 'sq.ft'}"
"Shivarampet, Mysore",2 BHK Independent House,2000 sq.ft built up area ,[10000000],"{'value': 2000, 'unit': 'sq.ft'}"
"Zuari Garden City, Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Apartment,1225 sq.ft built up area ,[5500000],"{'value': 1225, 'unit': 'sq.ft'}"
"Zuari Garden City, Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Apartment,750 sq.ft built up area ,[3200000],"{'value': 750, 'unit': 'sq.ft'}"
", Mysore",3 BHK Independent House,2450 sq.ft built up area ,[18000000],"{'value': 2450, 'unit': 'sq.ft'}"
"Kesare, Mysore",2 BHK Independent House,600 sq.ft built up area ,[4500000],"{'value': 600, 'unit': 'sq.ft'}"
"Vijayanagar, Mysore",Prakruti Sigma,"2, 3 BHK Apartments","[3768000, 5924000]","{'value': 942, 'unit': 'sq.ft'}"
